#quantity  mean  std  median  err_mediana
z   0.066371   0.022488   0.071521   0.022935

petroMag_u   19.188791   0.813203   19.211464   0.759228

petroMag_g   17.712444   0.633579   17.800325   0.604441

petroMag_r   17.028852   0.599953   17.119362   0.622112

petroMag_i   16.672014   0.605961   16.754471   0.638457

petroMag_z   16.465467   0.638346   16.527100   0.660892

h_alpha_flux   143.175705   163.192261   85.000145   105.517646

h_beta_flux   35.326340   39.057903   21.474234   24.820989

oiii_5007_flux   19.063156   20.580305   12.252207   10.948456

nii_6584_flux   50.078667   53.729778   31.841520   34.791330

lgm_tot_p50   10.140400   0.563568   10.250800   0.502481

sfr_tot_p50   -0.503843   0.755973   -0.357545   0.868888

absMagU   -18.736090   0.742948   -18.782200   0.690447

absMagG   -20.092617   0.735027   -20.184799   0.619285

absMagR   -20.666981   0.812182   -20.785000   0.676955

absMagI   -20.921087   0.880876   -21.063299   0.732997

absMagZ   -21.141451   0.927355   -21.308001   0.762647
