#quantity  mean  std  median  err_mediana
z   0.066709   0.022446   0.072272   0.024461

petroMag_u   19.214632   0.828571   19.238068   0.764427

petroMag_g   17.711668   0.628032   17.809055   0.578701

petroMag_r   17.024181   0.579195   17.114529   0.588171

petroMag_i   16.672623   0.582736   16.752428   0.620583

petroMag_z   16.465849   0.609274   16.522848   0.651101

h_alpha_flux   130.058777   145.267609   79.892563   99.825259

h_beta_flux   32.165001   35.573082   20.156019   23.656102

oiii_5007_flux   17.935770   19.165815   11.695854   10.508241

nii_6584_flux   47.414257   49.698334   29.884832   32.771778

lgm_tot_p50   10.142538   0.554196   10.250305   0.512567

sfr_tot_p50   -0.515696   0.756478   -0.372857   0.872815

absMagU   -18.747272   0.727886   -18.811649   0.696896

absMagG   -20.103891   0.701077   -20.176102   0.632554

absMagR   -20.682133   0.766165   -20.776800   0.676065

absMagI   -20.941936   0.825828   -21.045700   0.726624

absMagZ   -21.172112   0.864688   -21.305250   0.766133
